Model,Featurizer,Transformation,Training_dataset,Mode,AUC_avg,AUC_std,Repeat_1,Repeat_2,Repeat_3,Repeat_4,Repeat_5,Repeat_6,Repeat_7,Repeat_8,Repeat_9,Repeat_10
KNeighborsClassifier,concat_w_o,original,1440_pairs,External,0.5789473684210528,1.1102230246251565e-16,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
DecisionTreeClassifier,concat_w_o,original,1440_pairs,External,0.58296783625731,0.03765187602681938,0.5489766081871346,0.6308479532163743,0.5657894736842105,0.6038011695906432,0.6301169590643275,0.5913742690058479,0.5263157894736842,0.6293859649122806,0.5650584795321637,0.5380116959064327
RandomForestClassifier,concat_w_o,original,1440_pairs,External,0.7781798245614036,0.028839294274322382,0.8008040935672515,0.7708333333333334,0.7635233918128653,0.758406432748538,0.8011695906432749,0.7777777777777778,0.7660818713450293,0.7964181286549707,0.8285818713450293,0.7182017543859649
MLPClassifier,concat_w_o,original,1440_pairs,External,0.4882309941520469,0.00857758642541531,0.49488304093567254,0.5014619883040936,0.48245614035087725,0.483187134502924,0.4978070175438596,0.49707602339181295,0.472953216374269,0.4846491228070176,0.48538011695906436,0.4824561403508772
LinearSVC,concat_w_o,original,1440_pairs,External,0.42690058479532167,0.004299836599372153,0.4232456140350877,0.43274853801169594,0.4269005847953216,0.4225146198830409,0.4364035087719298,0.4239766081871345,0.4276315789473684,0.4232456140350877,0.42470760233918126,0.4276315789473685
GaussianNB,concat_w_o,standardization,1440_pairs,Standard,0.683739053460213,0.009324884594175383,0.6785669122063798,0.6800527963074199,0.6793098542568998,0.6841389775852802,0.6721333501944295,0.7002149789763207,0.6709003825361196,0.68425753216781,0.6978675982422307,0.6899481521292402
KNeighborsClassifier,concat_w_o,standardization,1440_pairs,Standard,0.6158546995036515,0.011246258029263195,0.625790363883532,0.6081099238089216,0.6310818500837786,0.6153812715374158,0.6146857513199077,0.603051594954317,0.6274264171224432,0.5927373462742247,0.6187916916948564,0.621490784357118
DecisionTreeClassifier,concat_w_o,standardization,1440_pairs,Standard,0.6290237425310613,0.009279545999123012,0.6384006196452846,0.6308526445575543,0.6449527362397648,0.6304811735322942,0.6281337927982044,0.6235575859125542,0.6376576775947645,0.6109433783313838,0.622814643862034,0.6224431728367741
RandomForestClassifier,concat_w_o,standardization,1440_pairs,Standard,0.8626114413075779,0.004308885089773495,0.8608761974012835,0.8700128038949132,0.8600226044070689,0.8629034807625431,0.8642510511839652,0.8546086118048749,0.8593705542031551,0.8670568429705037,0.8668592519996206,0.8601530144478519
MLPClassifier,concat_w_o,standardization,1440_pairs,Standard,0.8196800606999464,0.012866483560764985,0.821377762321773,0.8442587967500238,0.8074831652492808,0.7936517972874713,0.8191489361702128,0.8118538775252127,0.830522272454238,0.8198602636653916,0.8242151686636527,0.8244285669122063
LinearSVC,concat_w_o,standardization,1440_pairs,Standard,0.7908128102178242,0.009468342137088283,0.7924662514621732,0.7968606746546112,0.7831083430811546,0.7961809617147736,0.7772517467041826,0.8097989314280295,0.7872656571085327,0.7970740729031646,0.7904508235591666,0.7776706395624545
GaussianNB,concat_w_o,standardization,1440_pairs,Stratified,0.6942738136638108,0.01091072253100316,0.6998435079510607,0.6940343334071005,0.6686715563845594,0.6998435079510607,0.7013293920521007,0.6910625652050204,0.7028152761531409,0.6800527963074199,0.7018984540482438,0.7031867471784008
KNeighborsClassifier,concat_w_o,standardization,1440_pairs,Stratified,0.6186581201985394,0.012502415478809216,0.6305167399070533,0.6012930353134583,0.6137373146596693,0.6428582719484051,0.6091018304827542,0.6035337169232715,0.6262606303942336,0.621340615219247,0.6110382219974076,0.6269008251398943
DecisionTreeClassifier,concat_w_o,standardization,1440_pairs,Stratified,0.6285779773007492,0.017952306112552562,0.6285052638234643,0.6594242989472353,0.6270193797224243,0.6125478170149538,0.6304811735322942,0.5993092219657931,0.6291296512914546,0.6578198602636653,0.6114334039391737,0.6301097025070342
RandomForestClassifier,concat_w_o,standardization,1440_pairs,Stratified,0.8665996174638803,0.004065129684329632,0.8701076475609372,0.8718503999241252,0.8656302361607284,0.8654049824539218,0.8594140242167494,0.8630022762479845,0.8661874426986182,0.8721349309221966,0.8624450697100946,0.8698191647434478
MLPClassifier,concat_w_o,standardization,1440_pairs,Stratified,0.8242238626663715,0.007543882665863229,0.8267048148967785,0.8140985109544434,0.818706332395435,0.8207454712149475,0.8231797919762258,0.8434368183111505,0.8192121652808954,0.8226739590907653,0.8248079415763017,0.8286728209667733
LinearSVC,concat_w_o,standardization,1440_pairs,Stratified,0.7815623913249661,0.017591973293563493,0.7898975688406943,0.7746277386108565,0.7652540229521672,0.8084157946318485,0.7953985014700768,0.7590338591887705,0.7637997534064683,0.7670955708007967,0.7828870411937657,0.8092140621542159
GaussianNB,concat_w_o,standardization,1440_pairs,LODO,0.48475388068666814,0.0,0.48475388068666814,0.48475388068666814,0.48475388068666814,0.48475388068666814,0.48475388068666814,0.48475388068666814,0.48475388068666814,0.48475388068666814,0.48475388068666814,0.48475388068666814
KNeighborsClassifier,concat_w_o,standardization,1440_pairs,LODO,0.596685213872467,1.1102230246251565e-16,0.5966852138724669,0.5966852138724669,0.5966852138724669,0.5966852138724669,0.5966852138724669,0.5966852138724669,0.5966852138724669,0.5966852138724669,0.5966852138724669,0.5966852138724669
DecisionTreeClassifier,concat_w_o,standardization,1440_pairs,LODO,0.5549460971831431,0.012149812340310482,0.5461177326040909,0.5655369732224717,0.5644225601466916,0.5589848566279915,0.554527204324871,0.5406642218077203,0.5651655021972116,0.5660269988302614,0.52805001422655,0.5599649078435712
RandomForestClassifier,concat_w_o,standardization,1440_pairs,LODO,0.7310510258923208,0.008701090292042423,0.7256172741930385,0.7387886883120989,0.7366033321741331,0.7169904524042869,0.741053080838418,0.728561379659195,0.7244001138123992,0.7394446903354304,0.7191916158199235,0.7398596313742847
MLPClassifier,concat_w_o,standardization,1440_pairs,LODO,0.6582182036609656,0.01405295576420329,0.638629825171509,0.673777307072176,0.6696041857671273,0.658626031424868,0.680202965445291,0.6452846890708482,0.6613923050172299,0.6681341089437578,0.640708482185198,0.64582213651165
LinearSVC,concat_w_o,standardization,1440_pairs,LODO,0.7216717776864469,0.018919396705862325,0.7490515633397616,0.7463485188580823,0.7154057728178054,0.7312130504884449,0.721254465555942,0.6826451898454048,0.7231118206822421,0.7333470329739813,0.7051310423318896,0.7092093199709146
GaussianNB,concat_w_o,standardization,1440_pairs,LOEO,0.48635831937023805,5.551115123125783e-17,0.4863583193702381,0.4863583193702381,0.4863583193702381,0.4863583193702381,0.4863583193702381,0.4863583193702381,0.4863583193702381,0.4863583193702381,0.4863583193702381,0.4863583193702381
KNeighborsClassifier,concat_w_o,standardization,1440_pairs,LOEO,0.5311403370111599,0.0,0.5311403370111599,0.5311403370111599,0.5311403370111599,0.5311403370111599,0.5311403370111599,0.5311403370111599,0.5311403370111599,0.5311403370111599,0.5311403370111599,0.5311403370111599
DecisionTreeClassifier,concat_w_o,standardization,1440_pairs,LOEO,0.5663336600170719,0.013174550800131937,0.5650469476146818,0.5828617495494927,0.5848376592583227,0.5536657076918214,0.5767996585628024,0.5751952198792324,0.5532942366665613,0.5521798235907812,0.5722234516771522,0.547232145679871
RandomForestClassifier,concat_w_o,standardization,1440_pairs,LOEO,0.8192184881919635,0.003914915017779278,0.8165802535487339,0.8232548765451615,0.8199788182479213,0.8206861939236825,0.8115732983465589,0.8205281211469762,0.8166790490341752,0.8156278650690778,0.82155164237615,0.8257247636811988
MLPClassifier,concat_w_o,standardization,1440_pairs,LOEO,0.7463872466883754,0.019858685344009627,0.7331336347254276,0.7693955297018747,0.7457083241124213,0.7406104770636401,0.7123312573108659,0.787668742689134,0.7552717271031584,0.7462536751920584,0.7305807593816194,0.7429183396035536
LinearSVC,concat_w_o,standardization,1440_pairs,LOEO,0.7333359678796117,0.018730529570521275,0.7281622458980115,0.6977095254655244,0.7363108975372261,0.7639578261831748,0.7320903543991654,0.7366507540071449,0.7537542284467769,0.7344219278555846,0.7438746799026271,0.7064272391008821
GaussianNB,concat_w_o,standardization,1440_pairs,External,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
KNeighborsClassifier,concat_w_o,standardization,1440_pairs,External,0.5921052631578947,0.0,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947
DecisionTreeClassifier,concat_w_o,standardization,1440_pairs,External,0.542470760233918,0.023583937797162943,0.5511695906432749,0.5657894736842105,0.577485380116959,0.49780701754385964,0.5124269005847953,0.5263157894736842,0.5394736842105263,0.5387426900584795,0.5635964912280702,0.5519005847953217
RandomForestClassifier,concat_w_o,standardization,1440_pairs,External,0.7850511695906432,0.02734858584373735,0.739035087719298,0.7737573099415206,0.8070175438596491,0.7861842105263157,0.7945906432748538,0.7609649122807017,0.8154239766081872,0.8285818713450291,0.7507309941520467,0.7942251461988304
MLPClassifier,concat_w_o,standardization,1440_pairs,External,0.5682748538011697,0.08520783407161309,0.5519005847953217,0.6637426900584796,0.5014619883040936,0.6630116959064328,0.591374269005848,0.38011695906432746,0.5628654970760233,0.5869883040935672,0.6695906432748538,0.5116959064327485
LinearSVC,concat_w_o,standardization,1440_pairs,External,0.6182748538011696,0.06543177613674217,0.5818713450292398,0.5921052631578947,0.6915204678362574,0.537280701754386,0.679093567251462,0.7010233918128654,0.5080409356725146,0.6125730994152047,0.6907894736842106,0.5884502923976609
GaussianNB,concat_w,original,1440_pairs,Standard,0.4791237235623281,0.01981266820647477,0.48234722266131325,0.510480225095634,0.4920291802345799,0.4707881508646581,0.49420268091429287,0.48828680724605605,0.48680092314501594,0.44969729063260727,0.4755145268881793,0.44109022794094405
KNeighborsClassifier,concat_w,original,1440_pairs,Standard,0.6717377730707217,0.014997377786528874,0.6692959438525498,0.6574839556131642,0.6774762100471057,0.683352565521166,0.6978755018810662,0.6847238468590939,0.6478138534981506,0.6795548670607947,0.652595554993519,0.6672054313806077
DecisionTreeClassifier,concat_w,original,1440_pairs,Standard,0.6343278745534443,0.01095360743863396,0.6190999336094337,0.6468100913660649,0.6335714963169042,0.617124023900604,0.6464386203408049,0.6381477032025543,0.650643356201195,0.6339429673421642,0.625162024596124,0.6323385286585945
