Model,Featurizer,Transformation,Training_dataset,Mode,AUC_avg,AUC_std,Repeat_1,Repeat_2,Repeat_3,Repeat_4,Repeat_5,Repeat_6,Repeat_7,Repeat_8,Repeat_9,Repeat_10
RandomForestClassifier,concat_w_o,standardization,all_in_one,Standard,0.8876025984405036,0.004446472571188864,0.8903627664859494,0.8818011966218113,0.8873712119575783,0.8944019050910424,0.8918882432987019,0.8849655485236624,0.889296282696503,0.8839260643238221,0.8803783182495626,0.8916344471564033
MLPClassifier,concat_w_o,standardization,all_in_one,Standard,0.8495234572434498,0.006444631629417488,0.8586409486575804,0.8396440374106314,0.8421981985873814,0.8554576970430049,0.8522744454284295,0.8511782620904162,0.8578309609693933,0.850038879409033,0.8455353478627123,0.8424357949759164
LinearSVC,concat_w_o,standardization,all_in_one,Standard,0.826099423288766,0.006982288922168365,0.830696373415124,0.8140592262997604,0.8175097738514374,0.8208307233730047,0.835707497246042,0.8202313324837462,0.8276670194613042,0.8328347409119381,0.8296217897487957,0.8318357560965074
GaussianNB,concat_w_o,standardization,all_in_one,Stratified,0.6762376611875499,0.012344109955718024,0.6770633086377087,0.6728567725770569,0.6964436140570663,0.6764747175842928,0.6609391537248633,0.6743039505799513,0.6963302157807202,0.6830788172019786,0.6665928677884096,0.6582931939434521
KNeighborsClassifier,concat_w_o,standardization,all_in_one,Stratified,0.695304231375683,0.012672480046529206,0.7025077218826273,0.6820015335766896,0.6917186858759747,0.7146413374516708,0.6784780871330757,0.7119494783679288,0.6949748363824869,0.7012036417046461,0.6996592651791693,0.6759077262025617
DecisionTreeClassifier,concat_w_o,standardization,all_in_one,Stratified,0.6969085469900858,0.014106658276043564,0.6969944056850336,0.6824308270514288,0.7093872173142968,0.7059042702550922,0.6780892930427458,0.7130051623215327,0.7204678488886969,0.6962708166835865,0.6820690325507053,0.6844665961077392
RandomForestClassifier,concat_w_o,standardization,all_in_one,Stratified,0.8899839622437741,0.003158984533267425,0.8868096204937684,0.8869419184828391,0.8902979674708944,0.8931896235177227,0.8883890964857334,0.890889258483271,0.8881515000971986,0.8882324988660172,0.8977120547767674,0.8892260837635267
MLPClassifier,concat_w_o,standardization,all_in_one,Stratified,0.8495982461066591,0.008260243059712414,0.8616757025293216,0.8521772469058471,0.8611303108192754,0.8482947059204701,0.8522042464954532,0.8468583277534184,0.8373814718016287,0.8486727001749573,0.8528306369743179,0.8347571116919021
LinearSVC,concat_w_o,standardization,all_in_one,Stratified,0.8253342549193252,0.007321077601762495,0.8222131023608441,0.8315117610212325,0.8283312093656177,0.8099228891720845,0.8261820420329611,0.8381212605568396,0.8193133464371342,0.823039289802795,0.8310743676696115,0.8236332807741323
GaussianNB,concat_w_o,standardization,all_in_one,LODO,0.5230252500161999,1.1102230246251565e-16,0.5230252500161998,0.5230252500161998,0.5230252500161998,0.5230252500161998,0.5230252500161998,0.5230252500161998,0.5230252500161998,0.5230252500161998,0.5230252500161998,0.5230252500161998
KNeighborsClassifier,concat_w_o,standardization,all_in_one,LODO,0.6187873944316046,1.1102230246251565e-16,0.6187873944316045,0.6187873944316045,0.6187873944316045,0.6187873944316045,0.6187873944316045,0.6187873944316045,0.6187873944316045,0.6187873944316045,0.6187873944316045,0.6187873944316045
DecisionTreeClassifier,concat_w_o,standardization,all_in_one,LODO,0.6617189018726914,0.012548874171694879,0.6516080955569474,0.6438970127654059,0.650636110331123,0.6548642460634598,0.6630505216320711,0.6660582759142061,0.6680940449705164,0.6541406570620126,0.6802600600470873,0.6845799943840853
RandomForestClassifier,concat_w_o,standardization,all_in_one,LODO,0.774333650128518,0.00896044677161898,0.7705682873620321,0.7865655442037282,0.7651494697280601,0.7828396008380671,0.7743509298658661,0.7675497332440546,0.7890900058319114,0.7597279521351276,0.7752662159535175,0.7722287621228158
MLPClassifier,concat_w_o,standardization,all_in_one,LODO,0.5631347603516428,0.019220408113512312,0.5645830183381213,0.5542313756830897,0.5433073417284058,0.5644426204721689,0.5302881396202779,0.5940287707626843,0.5539964792535154,0.5943419660021168,0.5734847830312979,0.558643108624749
LinearSVC,concat_w_o,standardization,all_in_one,LODO,0.6177614100265675,0.0019405354690191765,0.6186955958269434,0.6164816294792319,0.6190627902455882,0.6188683932004233,0.6128528846361536,0.6197107803961379,0.6165086290688382,0.6191653886860919,0.618641596647731,0.6176264120785364
GaussianNB,concat_w_o,standardization,all_in_one,LOEO,0.592101000064799,0.0,0.592101000064799,0.592101000064799,0.592101000064799,0.592101000064799,0.592101000064799,0.592101000064799,0.592101000064799,0.592101000064799,0.592101000064799,0.592101000064799
KNeighborsClassifier,concat_w_o,standardization,all_in_one,LOEO,0.5650555111562304,0.0,0.5650555111562304,0.5650555111562304,0.5650555111562304,0.5650555111562304,0.5650555111562304,0.5650555111562304,0.5650555111562304,0.5650555111562304,0.5650555111562304,0.5650555111562304
DecisionTreeClassifier,concat_w_o,standardization,all_in_one,LOEO,0.5842765189969114,0.011011905007109659,0.5880618614597058,0.5768678316089595,0.5760092446594812,0.591183014018187,0.5710791195973821,0.593715575523252,0.5904594250167398,0.5721645030995529,0.5762576408838586,0.6069669741019937
RandomForestClassifier,concat_w_o,standardization,all_in_one,LOEO,0.8618800894226407,0.003226634651597682,0.858973043609737,0.8608387152515282,0.8667921247597036,0.8607955159081582,0.8580118582197551,0.8627043868933193,0.8664708296433894,0.8659605373998316,0.8597371319955937,0.8585167505453917
MLPClassifier,concat_w_o,standardization,all_in_one,LOEO,0.8123123528522365,0.014773004269046288,0.7844730760092449,0.8180551655614835,0.8245728664924293,0.8123798518262522,0.7936205369678381,0.8374894701600535,0.8215921117999005,0.8024980020303691,0.8091669006631099,0.8192755470116855
LinearSVC,concat_w_o,standardization,all_in_one,LOEO,0.8125629090437825,0.008545098898818446,0.8153390068470959,0.8072661295548307,0.8112134695552627,0.8325215456725058,0.7966606907575005,0.8097122923731559,0.8110406721817828,0.8133248374624705,0.8177743698295785,0.8107760762036417
GaussianNB,concat_w,original,all_in_one,Standard,0.469364645657386,0.02579272242711456,0.47527917575652845,0.494940276907791,0.5108781346523532,0.4386353327429423,0.4328628204851286,0.4727682139231484,0.5043388340497224,0.4536417046460894,0.4613743871093159,0.4489275763008402
KNeighborsClassifier,concat_w,original,all_in_one,Standard,0.7372208242434715,0.008071680683808305,0.7350449273171048,0.7382740782340108,0.7354256215305528,0.7363841069615742,0.7527431583039937,0.7272393459619414,0.7424671144998596,0.7454370693565459,0.7228924120353369,0.7363004082337947
DecisionTreeClassifier,concat_w,original,all_in_one,Standard,0.7100022679655269,0.011136911592512044,0.6944618441799685,0.7015627362464091,0.6974695984621033,0.720581247165043,0.7194958636628722,0.7048188867529215,0.7040952977514742,0.7316618787394432,0.7097490118150204,0.7161263148800138
RandomForestClassifier,concat_w,original,all_in_one,Standard,0.8938686631963193,0.005181553875613043,0.8983168455839473,0.8941157094412164,0.8958652828477008,0.8922500377994254,0.9022425859126942,0.8978605525196017,0.8930870250772189,0.8858457351448257,0.8947340000431994,0.8843688575933645
MLPClassifier,concat_w,original,all_in_one,Standard,0.5261588223858997,0.033706851900087126,0.5790439985312223,0.5242159319178349,0.5635732336868479,0.5384123161327948,0.5199742963906948,0.5018035725856967,0.5316651186901958,0.45564507419487227,0.4975106378383048,0.549744043890533
LinearSVC,concat_w,original,all_in_one,Standard,0.6109175540531784,0.030866699433289027,0.6015967557293129,0.5795731904875046,0.6164411300948227,0.6356837376071883,0.667702550921226,0.6379301034624274,0.577912715726721,0.6323384884549755,0.59413946908007,0.5658573989675357
GaussianNB,concat_w,original,all_in_one,Stratified,0.4933221915026892,0.00725805798618299,0.4978022334060523,0.4937873944316047,0.5000620990560943,0.4914195304231376,0.4960013607793161,0.49623085729096916,0.503588245458669,0.47888632092792194,0.48200747348640294,0.49343639976672354
KNeighborsClassifier,concat_w,original,all_in_one,Stratified,0.7379203836101691,0.00908310143870989,0.7259028662764325,0.7395619586582284,0.7481019288506814,0.7271880467416895,0.7437576948830377,0.738603473227207,0.7529537551029225,0.7400371514352981,0.7240371946346416,0.7390597662915523
DecisionTreeClassifier,concat_w,original,all_in_one,Stratified,0.7053097392919627,0.010707422465536581,0.6907305008963863,0.7170983001058384,0.6930146661770742,0.7149275331014968,0.717460094606562,0.6992785709657213,0.7189072726094563,0.7050456833056138,0.7048188867529215,0.6918158843985571
RandomForestClassifier,concat_w,original,all_in_one,Stratified,0.8947939391321252,0.0051252753945046975,0.9012841004816725,0.8978659524375229,0.8997208242434716,0.8855379398233146,0.8901575696049422,0.8930033263494395,0.8965699721364235,0.8877492062120657,0.896839968032486,0.8992105319999135
MLPClassifier,concat_w,original,all_in_one,Stratified,0.5198846577532021,0.028010980960285405,0.48235306823336277,0.565317407175411,0.5143448819577943,0.4781195325831047,0.5142773829837787,0.5365412445730825,0.5368301401818693,0.533522690455105,0.5488854569410544,0.48865477244745875
LinearSVC,concat_w,original,all_in_one,Stratified,0.589582478346329,0.027887907910926556,0.5306742337516469,0.5575388254098538,0.5851216061515865,0.5794462924163553,0.6160199364969652,0.5997931831436163,0.5888583493530899,0.6186118970991642,0.5913423115968637,0.6284181480441496
